Campaign ID,Campaign,Ad Group,Keyword,Criterion Type
24156845915,RelayMic - Search - Test,Remote Mac Core,remote desktop microphone mac,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,remote desktop microphone mac,Phrase
24156845915,RelayMic - Search - Test,Remote Mac Core,use microphone over remote desktop mac,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,use microphone over remote desktop mac,Phrase
24156845915,RelayMic - Search - Test,Remote Mac Core,microphone passthrough remote desktop,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,microphone passthrough remote desktop,Phrase
24156845915,RelayMic - Search - Test,Remote Mac Core,microphone passthrough remote desktop mac,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,microphone passthrough remote desktop mac,Phrase
24156845915,RelayMic - Search - Test,Remote Mac Core,remote mac microphone,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,remote mac microphone,Phrase
24156845915,RelayMic - Search - Test,Remote Mac Core,how to use microphone remote desktop mac,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,how to use microphone remote desktop mac,Phrase
24156845915,RelayMic - Search - Test,Remote Mac Core,forward microphone remote desktop mac,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,forward microphone remote desktop mac,Phrase
24156845915,RelayMic - Search - Test,Remote Mac Core,send microphone to remote mac,Exact
24156845915,RelayMic - Search - Test,Remote Mac Core,send microphone to remote mac,Phrase
24156845915,RelayMic - Search - Test,Remote Support Tools,anydesk microphone not working mac,Exact
24156845915,RelayMic - Search - Test,Remote Support Tools,anydesk microphone not working mac,Phrase
24156845915,RelayMic - Search - Test,Remote Support Tools,anydesk microphone mac,Exact
24156845915,RelayMic - Search - Test,Remote Support Tools,anydesk microphone mac,Phrase
24156845915,RelayMic - Search - Test,Remote Support Tools,use microphone anydesk mac,Exact
24156845915,RelayMic - Search - Test,Remote Support Tools,use microphone anydesk mac,Phrase
24156845915,RelayMic - Search - Test,Remote Support Tools,teamviewer microphone remote mac,Exact
24156845915,RelayMic - Search - Test,Remote Support Tools,teamviewer microphone remote mac,Phrase
24156845915,RelayMic - Search - Test,Remote Support Tools,teamviewer microphone transmission,Exact
24156845915,RelayMic - Search - Test,Remote Support Tools,teamviewer microphone transmission,Phrase
24156845915,RelayMic - Search - Test,Remote Support Tools,teamviewer microphone mac,Exact
24156845915,RelayMic - Search - Test,Remote Support Tools,teamviewer microphone mac,Phrase
24156845915,RelayMic - Search - Test,Remote Support Tools,remote support microphone mac,Exact
24156845915,RelayMic - Search - Test,Remote Support Tools,remote support microphone mac,Phrase
24156845915,RelayMic - Search - Test,Dev Streaming Tools,parsec microphone mac,Exact
24156845915,RelayMic - Search - Test,Dev Streaming Tools,parsec microphone mac,Phrase
24156845915,RelayMic - Search - Test,Dev Streaming Tools,parsec mic passthrough mac,Exact
