Campaign ID,Campaign,Ad Group,Keyword,Criterion Type
24156845915,RelayMic - Search - Test,,free,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,gratis,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,crack,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,cracked,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,torrent,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,warez,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,nulled,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,pirate,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,pirata,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,job,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,jobs,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,hiring,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,career,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,salary,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,empleo,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,trabajo,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,vacante,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,continuity,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,continuity camera,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,continuity microphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,camara de continuity,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,camara continuity,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,iphone continuity,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,same room iphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,airpods continuity,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,windows to windows,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,windows rdp microphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,rdp windows to windows,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,microsoft rdp windows,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,remote desktop windows only,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,fix microphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,repair microphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,microphone repair,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,reparar micrófono,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,microphone driver,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,audio driver,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,usb microphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,best usb mic,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,blue yeti,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,buy microphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,microphone review,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,macbook microphone broken,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,internal microphone,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,hardware failure,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,macbook microphone not working,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,imac microphone not working,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,built in microphone not working,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,internal microphone not working,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,laptop microphone not working,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,my mac microphone not working,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,iphone microphone not working,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,micrófono interno no funciona,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,micrófono del mac no funciona,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,micrófono del macbook no funciona,Campaign Negative Phrase
24156845915,RelayMic - Search - Test,,micrófono integrado no funciona,Campaign Negative Phrase
